userId	email	companyName	ctaHref	ctaDisplay	utmAppend
1	liron+test@comparably.com	Liron LLC	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
2	liron+test2@comparably.com	Ben Corp	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
3	liron+test@comparably.com	Liron LLC	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
24	liron+test2@comparably.com	Ben Corp	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
15	liron+test@comparably.com	Liron LLC	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
26	liron+test2@comparably.com	Ben Corp	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
17	liron+test@comparably.com	Liron LLC	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
28	liron+test2@comparably.com	Ben Corp	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
19	liron+test@comparably.com	Liron LLC	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
21	yasmin+test2@comparably.com	Ben Corp	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
12	yadid+test@comparably.com	Liron LLC	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
23	ben+test2@comparably.com	Ben Corp	https://www.comparably.com/companies/comparably?utm_source=comparably&utm_medium=email&utm_campaign=leadershipawards&utm_content=unclaimed	www.comparably.com/companies/comparably	?utm_campaign=leadershipawards&utm_content=unclaimed
